Party Name,Code
Creative,2
Pranam Maheta,7
XYZ Designs,5
Sunrise,3
Vikas,9
Khodiyar Krupa,10
Krisha Bhagat,11
Kuber,12
Dholakiya,13
Alpha,14
Adee,15
Bharat Offset,16
